step,loss,grad_norm,learning_rate,rewards/answer_accuracy_reward,rewards/answer_format_reward,reward,reward_std,completion_length,kl,epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
43,0.0,0.5709595680236816,1e-06,0.125,0.625,0.75,0.36435678601264954,64.1875,0.0005431175231933594,0.1,,,,
44,0.0,1.6759495735168457,1e-06,0.0,0.8125,0.8125,0.26933756470680237,65.6875,0.0009489059448242188,0.1,,,,
45,0.0,0.3898320496082306,1e-06,0.0,0.6875,0.6875,0.125,13.3125,0.0002651214599609375,0.11,,,,
46,0.0,1.0318466424942017,1e-06,0.3125,0.75,1.0625,0.7393567860126495,95.5625,0.001224517822265625,0.11,,,,
47,0.0,1.559771180152893,1e-06,0.0625,0.625,0.6875,0.3291241526603699,10.0,0.0003790855407714844,0.11,,,,
48,0.0,0.8579280376434326,1e-06,0.3125,0.8125,1.125,0.25,14.5,0.0006053447723388672,0.11,,,,
49,0.0,0.8923147916793823,1e-06,0.25,0.875,1.125,0.6582483053207397,93.0,0.00017881393432617188,0.11,,,,
50,0.0,1.030297040939331,1e-06,0.25,0.5625,0.8125,0.6336943507194519,34.0625,0.0008869171142578125,0.12,,,,
51,0.0,0.35083407163619995,1e-06,0.0625,0.8125,0.875,0.4541241526603699,82.375,0.00011873245239257812,0.12,,,,
52,0.0,0.6136989593505859,1e-06,0.375,0.6875,1.0625,0.47346171736717224,70.375,0.00018835067749023438,0.12,,,,
53,0.0,0.38094985485076904,1e-06,0.3125,0.625,0.9375,0.7321560680866241,55.4375,0.000522613525390625,0.12,,,,
54,0.0,0.6300399303436279,1e-06,0.0625,0.875,0.9375,0.3291241526603699,34.375,0.00013875961303710938,0.13,,,,
55,0.0001,1.5575945377349854,1e-06,0.4375,0.6875,1.125,0.7673887014389038,80.4375,0.001766204833984375,0.13,,,,
56,0.0,0.3511215150356293,1e-06,0.1875,0.625,0.8125,0.5193375647068024,101.0,0.0009326934814453125,0.13,,,,
57,0.0,0.47118809819221497,1e-06,0.375,0.875,1.25,0.25,55.0,0.00018143653869628906,0.13,,,,
58,0.0,1.4431781768798828,1e-06,0.375,0.75,1.125,0.39433756470680237,36.4375,0.0004239082336425781,0.14,,,,
59,0.0,0.4270973205566406,1e-06,0.25,0.5,0.75,0.25,79.0625,0.00023746490478515625,0.14,,,,
60,0.0,0.45169416069984436,1e-06,0.125,0.6875,0.8125,0.375,115.875,0.00030231475830078125,0.14,,,,
61,0.0,1.0811794996261597,1e-06,0.0625,0.625,0.6875,0.375,20.25,0.00047779083251953125,0.14,,,,
